Kek Boon Goh, Monash University Malaysia
Hua Li, Nanyang Technological University
Xingyu Zhang, Beijing University of Technology
Lewei He, South China Normal University
Zhiguang Song, Harbin Engineering University
Shufeng Lu, Inner Mongolia University of Technology
Zuxiang Lei, East China Jiaotong University
Gang Wang, Soochow University, China    
Yuzhou Sun, Zhongyuan University of Technology
Hui Wang, Hainan University
Jianwei Yan, East China Jiaotong University
Cheng Li, Changzhou Institute of Technology
Bo Zhang, Southwest Jiaotong University
Shuang Li, Soochow University
Kim Meow Liew, City University of Hong Kong, Kowloon, Hong Kong
Guan Lin, Southern University of Science and Technology
Cheng Jiang, Western Sydney University
Guoxin Cao, Zhejiang University
Xin Lai, Wuhan University of Technology
Shengxi Zhou, Northwestern Polytechnical University
Bin Zhang, Shandong University
Zhihui Lai, Shenzhen University
Bo Yan, Zhejiang Sci-Tech University
Lifeng Wang, Nanjing University of Aeronautics and Astronautics
Hulun Guo, Tianjin University
Jianfei Wang, Beijing University of Technology
Liaoliang Ke, Tianjin University
Guoyang LU, City University of Hong Kong, Kowloon, Hong Kong
Xia Liu, Beijing University of Technology
Qingsheng Yang, Beijing University of Technology
Hongling Ye, Beijing University of Technology 
A.S. Ademiloye, Swansea University
Mohammad Abughabush, Swansea University
Jorge Molina, University of Granada
Lik-Ho Tam, Beihang University
Kinon Chen, Beihang University
Yang Zhang, Nanjing University of Science and Technology
Ean Hin Ooi, Monash University Malaysia
Xiang Ping, Central South University
Yumin Cheng, Shanghai University
Miaojuan Peng, Shanghai University
Jufeng Wang, Ningbo University of Finance & Economics
Heng Cheng, Taiyuan University of Science and Technology
Jian-Guo Dai, City University of Hong Kong
Zhao Wang, University of Tokyo
Mingfeng Kai, The Hong Kong Polytechnic University
Yan Liu, Tsinghua University
Yonggang Zheng, Dalian University of Technology
Wenshan Yu, Xi'an Jiaotong University
Huadong Yong, Lanzhou University
Qingcheng Yang, Shanghai University
Peng Hao, Dalian University of Technology
Jie Liu, Hunan University
Lei Wang, Beihang University
Zeng Meng, Hefei University of Technology
Dequan Zhang, Hebei University of Technology
